Skills,Developer,Permission,Traceability,Category,sub-category,Account Linking,customer reviews,Rating,Cost
Drill Sergeant ,by PianoBear , ['Alexa Notifications'],b,,,,,,
English Expressions,by Frederik Goossens ,"['Lists Read Access', 'Lists Write Access', 'Device Address']",b,,,,,,
flight level,by O. Schafer ,['Device Country and Postcode'],b,,,,,,
Give Food ,by @mario Ltd , ['Device Country and Postcode'],b,,,,,,
Indian Flute ,by Hauper Technologies ," ['Device Country and Postal Code', 'Full Name', 'Email Address']",b,,,,,,
ISSTracker,by Patrick Mortara,['Device Address'],b,,,,,,
Leeds Bins,by sailes.net ,['Device Address'],b,,,,,,
Local crime info ,by Milen Pavlov , ['Device Address'],b,,,,,,
Monmouthshire Council ,by WeBuildBots ," ['Device Address', 'Mobile Number']",b,,,,,,
MOOVILITY ,by Cirrantic ," ['Device Address', 'Location Services']",b,,,,,,
My Events ,by Purush , ['Reminders'],b,,,,,,
My Grocer ,by Shelf.ai ," ['Lists Read Access', 'Lists Write Access']",b,,,,,,
My Kirklees ,by Firmstep , ['Device Address'],b,,,,,,
Native Land,by Mapster Tech,['Device Country and Postal Code'],b,,,,,,
Northumbrian Water ,by Northumbrian Water Group , ['Device Country and Postcode'],b,,,,,,
Opus Energy ,by Alia , ['First Name'],b,,,,,,
Overwatch League Standings,by El-ad,['Device Country and Postal Code'],b,,,,,,
Place Finder ,by Vineet_msc, ['Device Address'],b,,,,,,
Quotes Encyclopedia ,by Ice Cream Communications , ['Email Address'],b,,,,,,
ReachNow,"by ReachNow, LLC",['Device Address'],b,,,,,,
remove badge v1,by Test,"['Device Address', 'Full Name', 'Email Address', 'Lists Read Access', 'Lists Write Access']",b,,,,,,
Rising Star - Sunset Sunrise Times ,by Alex Carless , ['Device Address'],b,,,,,,
Satellites Above ,by ðŸ’ @percontate ðŸ’ , ['Device Address'],b,,,,,,
Short Bedtime Stories ,by Al Summers Media , ['Lists Read Access'],b,,,,,,
Sixt Rent a car,by e-Sixt GmbH & Co. KG ,['Device Address'],b,,,,,,
Swedish Radio ,by Sveriges Radio , ['Device Country and Postal Code'],b,,,,,,
Tech Returners ,by Tech Returners , ['Email Address'],b,,,,,,
USMLE Board Review ,by OmniDigital ," ['Alexa Notifications', 'Full Name']",b,,,,,,
Vinoseleccion ,by MODAL , ['Amazon Pay'],b,,,,,,
Word Hacks ,by LC Publishing , ['Device Country and Postal Code'],b,,,,,,
AI Stock Valuations,by Global Business Pro,"['Full Name', 'Email Address']",c,Business & Finance,Business & Finance,Account linking required,,5.0 out of 5 stars,Free to Enable
Akvelon customer helper,by Akvelon,"['Lists Read Access', 'Lists Write Access', 'Device Address']",c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Ask the Real Estate Agent,by Liberty Gate,['Device Address'],c,Business & Finance,Business & Finance,,Account linking required,No customer reviews,
askDiJONES,by DiJONES Real Estate,"['Device Address', 'Full Name', 'Email Address', 'Mobile Number']",c,Business & Finance,Business & Finance,,,5.0 out of 5 stars,Free to Enable
Autochartist,by Autochartist,"['Device Country and Postcode', 'Email Address']",c,Business & Finance,Business & Finance,,No customer reviews,2.3 out of 5 stars,Free to Enable
BCU Assist,by Baxter Credit Union,"['Device Address', 'Location Services']",c,Business & Finance,Business & Finance,Account linking required,No customer reviews,5.0 out of 5 stars,Free to Enable
Bell Canada,by Bell Canada,['Device Address'],c,Business & Finance,Business & Finance,Account linking required,No customer reviews,,Free to Enable
Budget Direct,by Budget Direct,['Device Address'],c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Centric Consulting,by Centric Consulting,['Device Country and Postal Code'],c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
CHUBB,by Chubb Insurance,['Device Country and Postal Code'],c,Business & Finance,Business & Finance,Account linking required,No customer reviews,,Free to Enable
City Index,by Autochartist,"['Device Country and Postcode', 'Email Address']",c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
CNBC,"by NBCUniversal Media, LLC",['Email Address'],c,Business & Finance,Business & Finance,,,,3.7 out of 5 stars
Coldwell Banker Home of the Week,by Coldwell Banker,"['Device Address', 'Lists Read Access']",c,Business & Finance,Business & Finance,,,3.6 out of 5 stars,Free to Enable
Datavizz Info,by DataVizz,"['First Name', 'Email Address']",c,Business & Finance,Business & Finance,,No customer reviews,,
Davy,by Davy Group,"['Lists Read Access', 'Lists Write Access']",c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Diginomica Podcast,by diginomica,"['Device Address', 'Full Name', 'Lists Write Access']",c,Business & Finance,Business & Finance,,,4.8 out of 5 stars,Free to Enable
Digital Orlando,by Vohesu,['Device Address'],c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Dotsquares Lead Finder,by dotsqares,"['Lists Read Access', 'Device Address', 'Lists Write Access']",c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
EnergyAustralia,by EnergyAustralia,['Device Address'],c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Excalibur Online Assistant,by Pronav Technologies,"['Device Country and Postal Code', 'Email Address']",c,Business & Finance,Business & Finance,,No customer reviews,5.0 out of 5 stars,Free to Enable
Find Me A Job,by ATMT Labs,"['Given Name', 'Email Address']",c,Business & Finance,Business & Finance,Account linking required,No customer reviews,,Free to Enable
Find Me A Job,by CareerOneStop,['Device Country and Postal Code'],c,Business & Finance,Business & Finance,Account linking required,No customer reviews,,Free to Enable
Garden Valley,by Vacha Dakwala,['Device Country and Postal Code'],c,Business & Finance,Business & Finance,,,4.0 out of 5 stars,Free to Enable
GEICO,by GEICO Insurance,['Location Services'],c,Business & Finance,Business & Finance,,,4.5 out of 5 stars,Free to Enable
Home Value,by techdad24.com,['Device Address'],c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Home Value,by Voiceter Pro Inc,['Device Address'],c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
KB,by KB,"['Device Address', 'Location Services']",c,Business & Finance,Business & Finance,,,No customer reviews,5.0 out of 5 stars
Leadership Keys by Dr Relly Nadler,by Voice Focused,['Amazon Pay'],c,Business & Finance,Business & Finance,,,No customer reviews,
Macro voice,by bhavik,"['Alexa Notifications', 'Device Country and Postal Code']",c,Business & Finance,Business & Finance,,No customer reviews,4.3 out of 5 stars,Free to Enable
MercMoney,by Mercantile Bank,['Device Address'],c,Business & Finance,Business & Finance,,,5.0 out of 5 stars,Free to Enable
My Goals and Tasks,by Global Business Pro,"['Full Name', 'Email Address']",c,Business & Finance,Business & Finance,Account linking required,No customer reviews,,Free to Enable
My Home,by CoreLogic,['Device Address'],c,Business & Finance,Business & Finance,Account linking required,No customer reviews,,Free to Enable
Network Global Logistics,by Samyak,['Device Country and Postal Code'],c,Business & Finance,Business & Finance,,No customer reviews,,
Next Support,by NEXTUAE,"['First Name', 'Email Address']",c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
NotRocketScienceChatBotMilo,by Mark Pennington,['Device Country and Postal Code'],c,Business & Finance,Business & Finance,,,5.0 out of 5 stars,Free to Enable
Optimal Networks,"by Optimal Networks, Inc.","['Full Name', 'Email Address', 'Mobile Number']",c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
PMI Customer Care,by Project Management Institute,['Email Address'],c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Repfabric,by Repfabric LLC,['Email Address'],c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Russell Shaw: No Hassle Listing,by VoiceSkillsInc,['Email Address'],c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Sales Central,by Agency CRM Team,"['Device Address', 'Alexa Notifications']",c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Satisfi Labs,by satisfi,['Device Address'],c,Business & Finance,Business & Finance,,No customer reviews,,
Say Health Conditions,by Say Health,"['Device Country and Postal Code', 'Location Services']",c,Business & Finance,Business & Finance,,No customer reviews,,
Sell My House Fast,by Chucky Buys Lucky Houses,"['Full Name', 'Email Address', 'Mobile Number']",c,Business & Finance,Business & Finance,,,4.1 out of 5 stars,Free to Enable
Send E. S. G. Info,by ESG,"['Lists Read Access', 'Device Address', 'Lists Write Access']",c,Business & Finance,Business & Finance,Account linking available,No customer reviews,,
Smart Survey : Next-Gen survey platform,by Smart Voice Studio,"['Full Name', 'Email Address']",c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Snappy Builder,by APPY PIE LLP,"['Full Name', 'Email Address', 'Mobile Number']",c,Business & Finance,Business & Finance,,,3.0 out of 5 stars,Free to Enable
Star One,by Star One Credit Union,['Device Address'],c,Business & Finance,Business & Finance,Account linking required,No customer reviews,,Free to Enable
Stock Price,by JJ,['Lists Read Access'],c,Business & Finance,Business & Finance,,,5.0 out of 5 stars,Free to Enable
Stocks Guru,by AshishKumar.org,"['Full Name', 'Email Address']",c,Business & Finance,Business & Finance,Account linking required,,3.4 out of 5 stars,Free to Enable
Surabi Bullion,by Nestweaver,"['Lists Read Access', 'Device Address', 'Lists Write Access']",c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Taskify,by CompuVision,['Email Address'],c,Business & Finance,Business & Finance,Account linking available,,4.6 out of 5 stars,Free to Enable
TCS Perspectives,by TCS Limited,['Full Name'],c,Business & Finance,Business & Finance,,,3.6 out of 5 stars,Free to Enable
TD Bank,by TD Bank,['Device Country and Postal Code'],c,Business & Finance,Business & Finance,Account linking required,No customer reviews,,Free to Enable
This Old Marketing Podcast,by Alpha Voice,['Device Address'],c,Business & Finance,Business & Finance,,,No customer reviews,
This Week in Startups,by Alpha Voice,['Device Address'],c,Business & Finance,Business & Finance,,,No customer reviews,
TitleToolbox,by Benutech,['Device Address'],c,Business & Finance,Business & Finance,,No customer reviews,5.0 out of 5 stars,Free to Enable
Toronto Real Estate,by EastRealtors.ca,"['Full Name', 'Email Address', 'Mobile Number']",c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Vachon Online Assistant,by Pronav Technologies,['Device Address'],c,Business & Finance,Business & Finance,,,3.9 out of 5 stars,Free to Enable
Virgil Nethercott Investment Real Estate,"by VBN, LLC",['Email Address'],c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
VoiceTag,by Sweet As U Like Ltd,"['Email Address', 'Mobile Number']",c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Website Store,by Website Store,['Email Address'],c,Business & Finance,Business & Finance,,,No customer reviews,
White River Credit Union,"by Abe AI, Inc.",['Device Address'],c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Zurich Ireland,by Wolfgang Digital,"['First Name', 'Email Address']",c,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Bath Bin Collection,by Tom Poole,['Device Address'],c,Calendars & Reminders,Calendars & Reminders,Account linking available,,3.1 out of 5 stars,Free to Enable
Charnwood Bins,by Rachie L,['Device Address'],c,Calendars & Reminders,Calendars & Reminders,,No customer reviews,,Free to Enable
Daventry Bins,by Lumen Services Limited,['Device Country and Postcode'],c,Calendars & Reminders,Calendars & Reminders,Account linking required,,3.9 out of 5 stars,Free to Enable
Enfield Bins,by Rachie L,['Device Address'],c,Calendars & Reminders,Calendars & Reminders,,No customer reviews,,Free to Enable
Manchester Bin Collection,by Rachie L,['Device Address'],c,Calendars & Reminders,Calendars & Reminders,,,1.3 out of 5 stars,Free to Enable
my council,by St Helens Council,['Device Address'],c,Communication,Communication,,No customer reviews,,Free to Enable
Chrysler,by FCA,['Device Address'],c,Connected Car,Connected Car,,No customer reviews,,Free to Enable
Dodge,by FCA,['Device Address'],c,Connected Car,Connected Car,,No customer reviews,,Free to Enable
INFINITI Connection®,by Nissan North America,"['Device Address', 'Lists Read Access', 'Lists Write Access']",c,Connected Car,Connected Car,,Account linking required,,2.9 out of 5 stars
INFINITI ConnectionÆ,by Nissan North America,"['Device Address', 'Lists Read Access', 'Lists Write Access']",c,Connected Car,Connected Car,,,3.9 out of 5 stars,Free to Enable
INFINITI InTouchô Services,by Nissan North America,"['Device Address', 'Lists Read Access', 'Lists Write Access']",c,Connected Car,Connected Car,,No customer reviews,,Free to Enable
INFINITI InTouch™ Services,by Nissan North America,"['Device Address', 'Lists Read Access', 'Lists Write Access']",c,Connected Car,Connected Car,,Account linking required,,2.8 out of 5 stars
Jeep,by FCA,['Device Address'],c,Connected Car,Connected Car,,,3.3 out of 5 stars,Free to Enable
Mercedes me,by Mercedes-Benz,['Device Address'],c,Connected Car,Connected Car,,No customer reviews,,Free to Enable
MyNextbase Dash Cam,by NEXTBASE,['Given Name'],c,Connected Car,Connected Car,,No customer reviews,,Free to Enable
NissanConnect Services,by Nissan North America,"['Device Address', 'Lists Read Access', 'Lists Write Access']",c,Connected Car,Connected Car,,No customer reviews,,Free to Enable
NissanConnect® EV,by Nissan North America,['Device Country and Postal Code'],c,Connected Car,Connected Car,,Account linking required,,2.5 out of 5 stars
NissanConnectÆ EV,by Nissan North America,['Device Country and Postal Code'],c,Connected Car,Connected Car,,,3.6 out of 5 stars,
ParkWhiz,"by ParkWhiz, Inc.","['Device Address', 'Email Address', 'Amazon Pay', 'Location Services']",c,Connected Car,Connected Car,,No customer reviews,,Free to Enable
RAM,by FCA,['Device Address'],c,Connected Car,Connected Car,Account linking required,,3.6 out of 5 stars,Free to Enable
CKBK,by IOK Labs Inc.,"['Device Country and Postcode', 'Lists Read Access', 'Lists Write Access', 'Reminders', 'Alexa Notifications']",c,Cooking & Recipes,Cooking & Recipes,,No customer reviews,,Free to Enable
KptnCook Recipes,by KptnCook,['Email Address'],c,Cooking & Recipes,Cooking & Recipes,,No customer reviews,,Free to Enable
Quaker Oats - Go Forridge,by Quaker Oats,"['Lists Read Access', 'Lists Write Access']",c,Cooking & Recipes,Cooking & Recipes,,,5.0 out of 5 stars,Free to Enable
A Sales Guy,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address']",c,Education & Reference,Education & Reference,,,No customer reviews,
a16z,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Adam Advice,by mrcreatist,['Device Address'],c,Education & Reference,Education & Reference,,,2.2 out of 5 stars,Free to Enable
After Hours Upgrades,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address']",c,Education & Reference,Education & Reference,,,5.0 out of 5 stars,Free to Enable
Aircraft Radar,by Chris Dzombak,['Device Address'],c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Anzac Stories,by Alkira Software,['Email Address'],c,Education & Reference,Education & Reference,Account linking available,No customer reviews,,Free to Enable
APEC Summit,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,,5.0 out of 5 stars,Free to Enable
Banana Split Sundaes,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Beetle Moment Capital,by Beetle Moment Marketing,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,,2.6 out of 5 stars,Free to Enable
Brooklyn Public Library,by Brooklyn Public Library,['First Name'],c,Education & Reference,Education & Reference,,No customer reviews,4.0 out of 5 stars,Free to Enable
Burger Law,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,,5.0 out of 5 stars,Free to Enable
Chabad.org,by Chabad.org Jewish Apps,['Device Address'],c,Education & Reference,Education & Reference,,,3.2 out of 5 stars,Free to Enable
Chamber of Commerce of Cape Coral,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
City of Milwaukee,by Stacy Read,['Device Address'],c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Clean Water AI,by Paschar LLC,['Device Address'],c,Education & Reference,Education & Reference,,,No customer reviews,
Cooper Hurley Injury Lawyers,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Crisis Response,by AuTek,['Device Address'],c,Education & Reference,Education & Reference,,,5.0 out of 5 stars,Free to Enable
Dabble Lab,by Dabble Lab,"['Email Address', 'Full Name']",c,Education & Reference,Education & Reference,Account linking available,,2.5 out of 5 stars,Free to Enable
Daily Dose by Innovative Language,"by Innovative Language Learning USA, LLC",['Email Address'],c,Education & Reference,Education & Reference,Account linking required,,5.0 out of 5 stars,Free to Enable
DKMS Hero Skill,by DKMS,['Device Address'],c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Donate Blood by American Red Cross,by American Red Cross,"['Device Country and Postal Code', 'Reminders']",c,Education & Reference,Education & Reference,,,5.0 out of 5 stars,Free to Enable
Duke Health Urgent Care,"by Paragon Consulting, Inc.",['Device Address'],c,Education & Reference,Education & Reference,,,1.0 out of 5 stars,Free to Enable
Election Info,by Bruce Halperin,['Device Address'],c,Education & Reference,Education & Reference,,,No customer reviews,
FCNCare,by CardioCube,"['First Name', 'Device Country and Postal Code', 'Email Address']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Frontline Education,by Frontline Education,['Email Address'],c,Education & Reference,Education & Reference,,,4.0 out of 5 stars,Free to Enable
G20 Summit,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
G7 Summit,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Group of Nations,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Hansen's Lab,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Heavens-Above,by Heavens-Above GmbH,['Device Address'],c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
International Space Station Pass Times,by Paul Beardow,"['Alexa Notifications', 'Device Country and Postal Code', 'Location Services']",c,Education & Reference,Education & Reference,,No customer reviews,5.0 out of 5 stars,Free to Enable
ISS: Distance From Me?,by Sublimity Labs,['Device Address'],c,Education & Reference,Education & Reference,Account linking available,No customer reviews,,Free to Enable
kids book,by Girish Kumar Sharma,"['Device Address', 'Lists Read Access', 'Lists Write Access']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Manupatra ActSearch,by Manupatra,['Device Address'],c,Education & Reference,Education & Reference,,,3.3 out of 5 stars,Free to Enable
Manupatra Case Search,by Manupatra,['Device Address'],c,Education & Reference,Education & Reference,,,3.8 out of 5 stars,Free to Enable
Metalsmith Helper,by Susan B,['Lists Read Access'],c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Mike Fink Law,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,,5.0 out of 5 stars,Free to Enable
My Assignment Helper by Sir Dex!,by Grover Walters,['Device Address'],c,Education & Reference,Education & Reference,Account linking available,,5.0 out of 5 stars,Free to Enable
Natural Hazards,by Earthquake Commission,['Device Address'],c,Education & Reference,Education & Reference,,,3.6 out of 5 stars,Free to Enable
Order Updates,by Matthew de Noronha,"['Email Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,No customer reviews,4.0 out of 5 stars,Free to Enable
Peter B Therapy,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Q11,by Qwhery.com,"['Device Address', 'Email Address']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Quran,by Peace Through Understanding,"['Device Country and Postcode', 'Reminders']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Radius+,by Radius+,"['Location Services', 'Device Country and Postal Code']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Raise Your Voice,by AARP,['Device Address'],c,Education & Reference,Education & Reference,,,,4.7 out of 5 stars
Randy Gage,by Doug Devitre International Inc.,"['Device Country and Postal Code', 'Email Address', 'Mobile Number', 'Amazon Pay', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Recycle Coach,by Recycle Coach,['Device Address'],c,Education & Reference,Education & Reference,Account linking required,,2.4 out of 5 stars,Free to Enable
Rhythm Science,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Rise and Smile,by Amazon in the Community,"['Full Name', 'Email Address', 'Amazon Pay']",c,Education & Reference,Education & Reference,,,1.0 out of 5 stars,Free to Enable
RRRASOC Recycling Directory,by ReCollect Systems Inc,['Device Address'],c,Education & Reference,Education & Reference,,,3.8 out of 5 stars,Free to Enable
Sarah Marie Solutions,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,,No customer reviews,
School Guru,by Radicaltrace Software Solutions,['Device Address'],c,Education & Reference,Education & Reference,,,3.8 out of 5 stars,
SG Partners,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Space Station,by Paul Beardow,"['Alexa Notifications', 'Device Country and Postcode', 'Location Services']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
St. Peters Waste Wizard,by ReCollect Systems Inc,['Device Address'],c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
State of New Hampshire Elections,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Strong Family,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Strong Family Financial,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address']",c,Education & Reference,Education & Reference,,,5.0 out of 5 stars,Free to Enable
Stronglyfe,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Sun Riser,by TD Soft,['Device Country and Postal Code'],c,Education & Reference,Education & Reference,,,No customer reviews,
Synonyms and Antonyms,by Voxogenic,"['Given Name', 'Email Address']",c,Education & Reference,Education & Reference,,,5.0 out of 5 stars,Free to Enable
Toronto Waste Wizard,by Eric D'Souza,['Device Address'],c,Education & Reference,Education & Reference,,,5.0 out of 5 stars,Free to Enable
Total Highspeed Internet,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
US Interview Coach - (USIC),by Maurice Pruna,['Device Address'],c,Education & Reference,Education & Reference,,,4.3 out of 5 stars,Free to Enable
VanCollect Waste Wizard,by ReCollect Systems Inc,['Device Address'],c,Education & Reference,Education & Reference,,No customer reviews,3.0 out of 5 stars,Free to Enable
Vehicle Recalls Canada,by Transport Canada,['Mobile Number'],c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
W20 Summit,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address', 'Alexa Notifications']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Williamsburg Waste Wizard,by ReCollect Systems Inc,['Device Address'],c,Education & Reference,Education & Reference,,No customer reviews,1.0 out of 5 stars,Free to Enable
World Mathematics League,"by Sermo Labs, LLC",['Device Country and Postal Code'],c,Education & Reference,Education & Reference,,,5.0 out of 5 stars,Free to Enable
xpand staffing,by VoiceXP,"['Mobile Number', 'Email Address', 'Full Name', 'Device Address']",c,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Binman (Currently for Tewkesbury Borough only),by avasoft.co.uk,['Device Address'],c,Event Finders,Event Finders,,,5.0 out of 5 stars,Free to Enable
Binman (Currently for Tewkesbury Borough only),by Matt Evans,['Device Address'],c,Event Finders,Event Finders,,,5.0 out of 5 stars,Free to Enable
Gigtionary,by Sarif Tech Ltd,['Device Address'],c,Event Finders,Event Finders,,No customer reviews,,Free to Enable
HoverPin,by HoverPin LTD,['Device Address'],c,Event Finders,Event Finders,,,5.0 out of 5 stars,Free to Enable
L.A. City,by City of Los Angeles,['Device Address'],c,Event Finders,Event Finders,,No customer reviews,,Free to Enable
Police Info,by Just Good Software,['Device Country and Postcode'],c,Event Finders,Event Finders,,No customer reviews,3.0 out of 5 stars,Free to Enable
Sunfish Events,by Kavson Ltd,"['Lists Read Access', 'Lists Write Access', 'Device Address']",c,Event Finders,Event Finders,,,4.1 out of 5 stars,Free to Enable
Adam Grooming,by natter tech ltd,"['Full Name', 'Email Address']",c,Fashion & Style,Fashion & Style,,,4.3 out of 5 stars,Free to Enable
Let's Get Ready,by Coty,"['Lists Read Access', 'Lists Write Access']",c,Fashion & Style,Fashion & Style,,No customer reviews,3.1 out of 5 stars,Free to Enable
Allrecipes,by Allrecipes,"['Device Address', 'Email Address', 'Lists Read Access', 'Lists Write Access']",c,Food & Drink,Cooking & Recipes,,No customer reviews,,Free to Enable
first jump,by Voxxup,"['Alexa Notifications', 'Device Country and Postal Code']",c,Food & Drink,Cooking & Recipes,,No customer reviews,,Free to Enable
HelloKitchen,by HelloKitchen,"['Lists Read Access', 'Lists Write Access']",c,Food & Drink,Cooking & Recipes,,,3.6 out of 5 stars,Free to Enable
Klove Chef Speakable Recipes,by IOK Labs Inc.,"['Lists Read Access', 'Lists Write Access', 'Reminders']",c,Food & Drink,Cooking & Recipes,Account linking required,No customer reviews,,Free to Enable
Meals that Matterô,by Unilever Canada,"['Given Name', 'Email Address']",c,Food & Drink,Cooking & Recipes,,No customer reviews,4.0 out of 5 stars,Free to Enable
My Chef - Kitchen Assistant by Chefling,by chefling,"['Lists Read Access', 'Lists Write Access']",c,Food & Drink,Cooking & Recipes,,,3.0 out of 5 stars,Free to Enable
National Food Day,by Mandato Apps,['Device Country and Postal Code'],c,Food & Drink,Cooking & Recipes,,No customer reviews,5.0 out of 5 stars,Free to Enable
Nutella Creations,by Ferrero USA,"['Lists Read Access', 'Lists Write Access']",c,Food & Drink,Cooking & Recipes,,No customer reviews,,Free to Enable
Nutri-Pot,by WonderChef,"['Device Country and Postal Code', 'Lists Read Access', 'Lists Write Access', 'Reminders', 'Alexa Notifications']",c,Food & Drink,Cooking & Recipes,,No customer reviews,,Free to Enable
Quaker,by PepsiCo,"['Lists Read Access', 'Lists Write Access']",c,Food & Drink,Cooking & Recipes,,No customer reviews,,Free to Enable
Recipe Magic,by LC Publishing,"['Email Address', 'Lists Read Access', 'Lists Write Access']",c,Food & Drink,Cooking & Recipes,,No customer reviews,,Free to Enable
Recipe Speak,by Dashingninja LLC,"['Lists Read Access', 'Lists Write Access']",c,Food & Drink,Cooking & Recipes,,,5.0 out of 5 stars,Free to Enable
Sanderson Farms Recipes,by Sanderson Farms,"['Lists Read Access', 'Lists Write Access']",c,Food & Drink,Cooking & Recipes,,No customer reviews,5.0 out of 5 stars,
Tastes of Austria,by ÷sterreich Werbung,"['Lists Read Access', 'Lists Write Access']",c,Food & Drink,Cooking & Recipes,,No customer reviews,,Free to Enable
The Feed Feed,by Feedfeed,['Email Address'],c,Food & Drink,Cooking & Recipes,,No customer reviews,,Free to Enable
