Permission,Sentence,Similarities_Score
Location Services,"by naming a location, you agree that cubitag can share the location name anonymously to other users.",1
Location Services,"some location data comes from geonames ,",1
Location Services,you may opt-out of location based services at any time by editing the location services setting at the device level.,1
Location Services,we may use your deviceâ€™s physical location to provide you with personalized location-based services for your iot devices.,1
Location Services,"physical location:  we may collect the physical location of your iot device through the location of the mobile phone used by one of our trusted dealers to install the product, if you manually input the deviceâ€™s physical location in the app, or if you consent to using the map features in the app.",1
Location Services,this is a starting and endpoint function solely used for a location based search and a mapping system.,1
Location Services,"additionally, pinterest also states that it collects user location data from mobile devices, and if someone makes a purchase on pinterest, payment and contact information â€“ including an address and phone number â€“ will be collected.",1
Location Services,mobile application and location based services:   ,1
Location Services,enable location-based features on our platform.,1
Location Services,"for more information about your options related to the collection of your location information, see the choices section below.",1
Location Services,this may include information about your exact location when you use our platform.,1
Location Services,"for example, we may collect precise location information from your device.",1
Location Services,"data from device settings: information you allow us to receive through device settings you turn on, such as access to your gps location, camera or photos.",1
Location Services,you can stop collection of all location data via an app by uninstalling the app.,1
Location Services,"you can exercise choice over the location data collected through our apps by (i) for gps data, disabling location in your device settings or disabling location permissions to that app; (ii) for bluetooth data, disabling bluetooth and any bluetooth scanning option in your device settings; or (iii) for wifi data, disabling wifi and any wifi scanning option in your device settings.",1
Location Services,the location data collected through an app depends on your device settings and app permissions.,1
Location Services,location data may be used for purposes such as verifying your deviceâ€™s location and delivering or restricting relevant content and advertising based on that location.,1
Location Services,"â€¢ we use demographic information about you (e.g., age, gender, geographic location) from third parties to serve you more relevant advertising.",1
Location Services,imei number) and various location related information (e.g.,1
Location Services,we use location data only to provide and improve our service.,1
Location Services,"to customize our service for you, we and our partners may collect location data, including the real-time geographic location of your computer or mobile device.",1
Location Services,"additionally, some mobile phone service providers operate systems that pinpoint the physical location of devices that use their service.",1
Location Services,"examples of these legitimate interests include:   operation and improvement of our business, products and services  marketing of our products and services  provision of support to you  protection from fraud or security threats  protecting the security of your account with us  providing you with a sign-in method  determining your geographic location and preferences so that we can serve you better  compliance with legal obligations  completion of corporate transactions    other processing grounds: from time to time we may also need to process personal data to comply with a legal obligation, if it is necessary to protect the vital interests of you or other data subjects, or if it is necessary for a task carried out in the public interest.",1
Location Services,location information (e.g.,1
Location Services,"first and last name  email address  mailing address  location information  user content, for example, your account information, personal preferences, and personal shopping preferences that you provide through chat experiences or otherwise.",1
Location Services,"advertisements served through the services may be targeted to users who fit a certain general profile category may be based on anonymized information inferred from information provided to us by a user, including personal information (e.g., gender or age), may be based on the services usage patterns of particular users, purchased made from vendors who use the services based on the physical location of your mobile device, or may be based on your activity on third party services.",1
Location Services,"depending on the services that you use, and your app settings or device permissions, we may collect your precise or approximate location information as determined through data such as device address and gps location.",1
Location Services,latitude and/or longitude) or similar information regarding the location of your mobile device.,1
Location Services,"windows advertising id), mobile carrier, device type, model and manufacturer, mobile device operating system brand and model, phone number, and, depending on your mobile device settings, your geographical location data, including gps coordinates (e.g.",1
Location Services,"for example, the cleanpack product could collect and transmit information about the cleanpack productâ€™s function and use statistics, such as battery life and health, number of missions, the device identifier, and location mapping.",1
Location Services,"the services will receive information about the device activation, as well as the information that you have chosen to associate with the device or service such as device name, group name, and location name.",1
Location Services,"we may also capture from listeners (people who use the voice-apps created by the registered users on their voice-enabled devices), information such as geographic location, history of the voice interaction that the listener has had with the smart device and other information that may be exposed based on the user id on the device.",1
Location Services,your devices (depending on your settings) may also transmit location information and/or an advertising identifier to the service.,1
Location Services,"other information that may be requested includes detail  pertaining to the physical location of your vehicle, the final  destination and payment information necessary to process your  request.",1
Location Services,"this includes information      like your name, email address, mailing address, phone number, full date of birth, credit card number, geographic      location, etc.",1
Location Services,"they may also be used to provide targeted advertising based on your location, interest and other personal information.",1
Location Services,"please exercise control of your devices to prevent minors from getting into a situation where their location may be disclosed to us, our providers, or other third parties.",1
Location Services,"we have no way to control the use of an access device that you allow a child under age 18 to use, and therefore the device may be sending us information about the device's location and other factors.",1
Location Services,"this may include your name, e-mail address, photo, gender, birthday, location, an id associated with the social media profile, user files, photos and videos, list of friends or connections, people you follow and who follow you, posts, ""likes"" and more.",1
Location Services,"â— for some android mobile phones (especially android 6.0 mobile phones), if app needs to use bluetooth function, user will be asked to turn on the app location service, because the bluetooth function switch of those mobile phones is associated with the location service.in order to provide users with smoother and faster experience, we require android mobile phones to open the location service for the app.",1
Location Services,"at any time, you can oppose both the activation and the operation of this collection by disabling it in the â€œlocation servicesâ€ settings of the akinator app on your device (settings> apps",1
Location Services,"1.5. location information  by using the app, data related to the location of your device are collected and can be shared with marketing tierce parties to provide you with content and relevant ads.",1
Location Services,"this data may include the device type, operating system, unique device identifiers, device settings, and geo-location data.",1
Location Services,"if explicit authorization has been provided, the userâ€™s location data may be tracked by this application.",1
Location Services,"this application may collect, use, and share user location data in order to provide location-based services.",1
Location Services,the geographic location of the user is determined in a manner that isn't continuous.,1
Location Services,approximate location permission (non-continuous)  used for accessing the user's approximate device location.,1
Location Services,"the promotional messages and advertisements that you see may be determined by data that we collect or receive about you, such as your demographic data, location data, usage data, interests and preferences.",1
Location Services,"if you access the platform by mobile device, you may be asked to share your geo-location in order to make use of our geo-location services.",1
Location Services,we may also be legally required to provide location tracking data and other information obtained through the connected services system to law enforcement agencies.,1
Location Services,"the iae obtains vin (which is needed to by hma push ap), user id, event name, location, and time.",1
Location Services,"the customer must authorize the genesis ia app, via os level permissions (in app and/or within the os settings) for location and calendar access.",1
Location Services,primary iae inputs include:  device calendar  current weather based on location  current location  travel time to destination (,1
Location Services,certain programming limitations of the gps system may impair our ability to determine your vehicle's precise location.,1
Location Services,"through our app registration process, we collect a variety of information about the user, which may include, among other things, name of the person registering, location, gender, phone number, email address, user name and password.",1
Location Services,location information  when you use our app,1
Location Services,"depending on the platform you use to access our applications (e.g., apple's ios, google's android) you may be able to control whether location data is collected from within ""settings"" or other controls on your wireless device or the applications.",1
Location Services,"we may associate such location information with personal information you provide to us as described in section 1 above, in which case we will treat such associated information as personal information.",1
Location Services,"we use such location information for internal purposes and to improve your mlbam property experience, for example to understand where our users are most successfully accessing the mlbam properties.",1
Location Services,when you use an mlbam property via a wireless device we may solicit your permission to collect your location data.,1
Location Services,"for mobile applications, you may be able to opt-out of the use of precise data for location-based tracking by using the settings available on your mobile device; however, opting-out may impair or disable the fts services.",1
Location Services,"if you access the fts services from a mobile or other device, we may collect a unique device identifier assigned to that device, geolocation data (including, your precise location) or other transactional information for that device.",1
Location Services,"that information includes the computerâ€™s hardware, software, location, etc.",1
Location Services,you may opt out of the device location sharing at any time.,1
Location Services,information collection and use  the service requests to use device location data to enhance the service offered.,1
Location Services,we may also collect location information about the devices that access our services.,1
Location Services,"you can read the full details of our privacy policy below but the following is a quick summary: we only collect personal information that we require for the business purposes of commercial radio australia, such as events, research, marketing, products (including product development) and services (both our own and those of other companies that may be of interest to you); we may collect your name, address, email, phone number, location, other contact details, age, date of birth, gender, photographs/film/audio of you (where you attend a cra affiliated event), your interests and opinions about our brands and services, information related to promotions and activities that cra runs, such as competition entries, job applications, complaints and enquiries.",1
Location Services,"information collected by third parties, which may include such things as location data or contact details, credentials , is governed by their privacy practices.",1
Location Services,location.,1
Location Services,your location.,1
Location Services,location information  ,1
Location Services,for earlier versions of android: you can modify privacy settings in settings > more > permission and tap the on/off toggle switch next to location to turn location functions off for your device.,1
Location Services,> applications > app permissions > location and tap the on/off toggle switch next to location for each app which has permission to use your location data.,1
Location Services,"for example, you may choose to publish your location in your posts and in your anchor profile and when you set your trend location on the services.",1
Location Services,"definitions  scope of this policy  the information we collect, how we collect it, and how we use it  information sharing  online activity tracking and advertising  location information  aggregate and anonymous information  ",1
Location Services,j.Â location / geolocation information:    ,1
Location Services,"location detection none of the apps, except for ""space chunks"" ios/android app and ""tots fun in android"", are designed to collect location information .",1
Location Services,"however, since your personal information will be deleted, any new location information that is collected will no longer be associated with your personal information.",1
Location Services,unless you actively decide to share your location information through the services.,1
Location Services,smartphone) location information and your cubitag deviceâ€™s location information (the â€œlocation informationâ€).,1
Location Services,location data.,1
Location Services,"it may be viewed, read, collected, or used by others, outside of our control, including any geo-location, tags, or other metadata in the submission.",1
Location Services,"on many devices, enabling or disabling ""location services"" or a similar setting controls whether the device sends gps coordinates.",1
Location Services,location-based interactions   geolocation (this application)   ,1
Location Services,personal data collected: approximate location permission (non-continuous).,1
Location Services,"the purposes of processing  the data concerning the user is collected to allow the owner to provide its services, as well as for the following purposes: access to third party services' accounts, traffic optimization and distribution, contacting the user, hosting and backend infrastructure, advertising, analytics, managing contacts and sending messages, registration and authentication, handling payments, interaction with external social networks and platforms, managing support and contact requests, interaction with live chat platforms, displaying content from external platforms, interaction with data collection platforms and other third parties, infrastructure monitoring, remarketing and behavioral targeting, location-based interactions and device permissions for personal data access.",1
Location Services,to deliver location-based services and comply with territorial restrictions.,1
Location Services,"consent: claimant information will be processed for the purposes stated above    to provide access to the official university app  campus ad id, location   legitimate interest: to provide access to information available through the university mobile application.",1
Location Services,you may use the the service by providing permission to use your device location.,1
Location Services,"there is also other information that we collect such as your geolocation, type of device, where you found us from, etc",
Location Services,"voice apps may collect geo-location, zip code, and mobile phone number",
Mobile Number,"personal information collect, use, disclosure and consent  personal information may include your name, age, home address, phone number, marital status, income, credit history, medical information, education, employment information and social registration numbers.",1
Mobile Number,"one echo connect can support only one phone line, and only one echo connect can be registered per amazon account.",1
Mobile Number,"we collect your email address or mobile phone number in order to: send information, respond to inquiries, and/or other requests or questions process orders and to send information and updates pertaining to orders.",1
Mobile Number,"when you contract with us for a particular service, we will ask you to provide us with your name, email address, and a contact phone number.",1
Mobile Number,"if you provide your mobile phone number to us, we may ask for your consent to receive text message alerts from us containing product, event, or promotional information in a text or sms message (text messages).",1
Mobile Number,"2.1.1 this includes information you may give us so we can provide you with access to the platform or services and may include your name, address, email address, phone number and other information necessary to use the platform or services.",1
Mobile Number,"if you choose to open an account with us, register for our products and services, sign up for our newsletter, request support, or in any other way take steps that require the submission of information; we may collect information such as your name, email address, physical address, date of birth, location, gender and/or phone number.",1
Mobile Number,"phone number,  your gender  ",1
Mobile Number,types of personal information includes:  your name  your postal address  your e-mail address  your phone (or mobile),1
Mobile Number,"but it is likely to include your name, address, phone number, email address, user name, password, age, gender, date of birth (if appropriate), competition and survey answers and any comments you have chosen to provide.",1
Mobile Number,"personal information may include, without limitation, your first and last name, email address, age, date of birth, gender, phone number, time zone and location data, and usernames for third party social networking and other services where you have contributed content to which you grant timehop access.",1
Mobile Number,"tuition insurance quoting application â€“ studentâ€™s information (name, email address, address, college / university, on/off campus housing, class standing), parent / guardian / tuition payer (name, email address, mailing address, phone number, payment information), coverage information, discount eligibility information, and consumer reporting information.",1
Mobile Number,your phone number to send you text notifications when you opt in to receive them,
Mobile Number,"ebilling - name, address, phone number, email address, banking information, credit card number if provided.",1
Mobile Number,in order to take advantage of such features you would need to supply us with your email address or mobile phone number.,1
Mobile Number,we may associate that phone number to your mobile device identification information.,1
Mobile Number,"certain services, such as two-factor authentication, may require our collection of your phone number.",1
Mobile Number,"if you use our services on your mobile device, including through our application(s), we may collect your phone number and the unique device id number.",1
Mobile Number,"in order to place a mobile order we require you to disclose your name, phone number, email address and payment information.",1
Mobile Number,birth day/month and phone number are optional information you may disclose during myculverâ€™s registration.,1
Mobile Number,"the information we collect   as used in this privacy policy, ""personal information"" means any information that is linked to your identity such as your name, address, phone number (including mobile), birth day/month, demographic and geographic information, transaction information (including payment card and billing information),",1
Mobile Number,"please instruct your children never to give out their names, addresses, phone numbers or e-mail addresses to anyone on the web without your permission.",1
Mobile Number,"with your permission or where permitted by law, we may also use your data for marketing purposes which may include contacting you via email and phone and text message and post with information, news and offers on our products and services.",1
Mobile Number,"users may be asked for, as appropriate, name, email address, mailing address, phone number, credit card information.",1
Mobile Number,"we will collect certain contact information including your name, mailing address and phone numbers.",1
Mobile Number,"when you sign up to receive any of our newsletters, respond to a survey, register for a class, or purchase any product or service, you may be required to provide us with personal information about yourself, such as your name, address, email address, and phone number.",1
Mobile Number,"we may collect the following information:  your contact details including your name, email address, employer details, mailing address, phone number and mobile phoneÂ number;  your country ofÂ residence;  your, event attendee details (whereÂ applicable);  your financial information, such as your bank account or credit card details, for any product purchases and or donations;Â and any other personal information you provide to us in relation to theÂ products or services.",1
Mobile Number,"we never ask for personal or private information like names,phone-numbers,physical addresses,email addresses or credit card numbers.",1
Mobile Number,"the types of personal information we may collect directly from you include email addresses, postal addresses, phone numbers, employee names, usernames, information about the type of service required, marketing preferences, job titles, credit card payment information, transactional information (including services purchased), as well as any communications, inquiries, contact or other information you choose to provide during your use of the services.",1
Mobile Number,"we remove personally identifiable information (such as your name, address, email or phone number) and other preferences associated with your account promptly after you delete your account.",1
Mobile Number,"you can sign into your account to see any personally identifiable information we have stored, such as your name, email, address or phone number.",1
Mobile Number,"we also may collect personally identifiable information that you provide to us, such as your name, address, phone number or email address.",1
Mobile Number,"other information we collect if you choose to identify yourself (or otherwise provide us with personal information) when you use our online forms: we will collect (and may retain) any personally identifying information, such as your name, street address, email address, and phone number, and any other information you provide.",1
Mobile Number,"we collect your email address or mobile phone number in order to:   send information, respond to inquiries, and/or other requests or questions  process orders and to send information and updates pertaining to orders.",1
Mobile Number,phone number if you add your phone number to your account,1
Mobile Number,"for example, if you use google home to make a reservation through a booking service, weâ€™ll get your permission before sharing your name or phone number with the restaurant.",1
Mobile Number,"go to dashboard your personal information manage your contact information, such as your name, email, and phone number.",1
Mobile Number,"the information we collect includes unique identifiers , browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number.",1
Mobile Number,you can also choose to add a phone number or payment information to your account.,1
Mobile Number,"when you register for a voiceter pro account, we collect your name, mobile phone number, and/or email address, and any other information provided.",1
Mobile Number,"personally identifiable information (â€œ pii â€) refers to the information that lets us know the specifics of who you are, such as your name, preferred contact details, your payment information, and other personal identifiers (such as a phone number).",1
Mobile Number,"we may also collect your personal email address, a personal mailing address, and a mobile phone number.",1
Mobile Number,"anyone who has administrative privileges to devices you use, location or gps/geolocation, mobile number, your email address, user name, passwords, and financial or payment information).",1
Mobile Number,"this may include your name, address, phone number, email address and payment details.",1
Mobile Number,your phone number will be kept with us until you delete your account and 180 days thereafter.,1
Mobile Number,"as it is optional for you to provide your phone number, the processing is based on your consent.",1
Mobile Number,"user information & usage for accessing or using our service, you may be required to provide certain information such as name, address, occupation, nationality, credit/debit card details, email, contact number, etc.all information, disclosed by you shall be deemed to be disclosed willingly and without any coercion.",1
Mobile Number,"at the time of submission, the producers of these shows will also ask the users to include a contact number, email or address.",1
Mobile Number,"7.  other information: environmental feature value (ecv) (for device-bound accounts (email and phone number), account number and password for connected wi-fi accounts)  ",1
Mobile Number,": we may collect personal information you provide to us including your name, phone number, email address, account information (e.g.",1
Mobile Number,"this type of personal information may include your name, phone number, or email address.",1
Mobile Number,"the information you give us may include your name, address, e-mail address and phone number, and other information that you voluntarily provide.",1
Mobile Number,"if you create an account, weâ€™ll collect certain information that can be used to identify you, such as your name, email address, and phone number.",1
Mobile Number,"we provide your email address, mobile number and address, to facebook",1
Mobile Number,"contact data, including your email address, postal address, and phone number (for example, if you sign up to receive updates from us).",1
Mobile Number,"users should be aware that when they voluntarily disclose personal information (e.g., user name, e-mail address, phone number) on the bulletin boards or in the chat areas, that information can be collected and used by others and may result in unsolicited messages from other people.",1
Mobile Number,"includes name, address, phone, school, etc.",1
Mobile Number,"to stop receiving sms alerts, follow the opt-out instructions on the piece of direct marketing, or submit your mobile number in this contact form .",1
Mobile Number,"for our find my phone uk voice app, you must provide us with your mobile phone number.",1
Mobile Number,"your name, address, phone number and e-mail address.",1
Mobile Number,"information from your web session, including your device serial number, phone number, and account email may be associated with your responses when utilizing these tools.",1
Mobile Number,tracfone will share the mobile number with the hmo providers associated with those customers.,1
Mobile Number,your phone number  gender   ,1
Mobile Number,"generally, contact information is added at the end of the privacy policy and contains a physical (street) address, email address, and/or phone number.",1
Mobile Number,"from credit card numbers and social security numbers to email addresses and phone numbers, our sensitive, personally identifiable information is important.",1
Mobile Number,"additionally, pinterest also states that it collects user location data from mobile devices, and if someone makes a purchase on pinterest, payment and contact information â€“ including an address and phone number â€“ will be collected.",1
Mobile Number,"the information that the user voluntarily gives includes names, photos, pins, likes, email address, and/or phone number etc.",1
Mobile Number,we may also collect your mobile phone number.,1
Mobile Number,"for example, you may need to provide the following  information:  name mailing  address e-mail  address credit  card number home  and business phone number e-mail  information  in  addition to providing the foregoing information to our partners, if you choose  to correspond further with us through e-mail, we may retain the content of your  e-mail messages together with your e-mail address and our responses.",1
Mobile Number,"in the event that you sign-up or access the app using your social media accounts (facebook/google), we may gain access to your public profile (your name, profile picture and other information that you have made available such as your age, email address, phone number, etc).",1
Mobile Number,":  we may ask you for certain personal information such as your name, email address, phone number, etc in order to contact or identify you if required.",1
Mobile Number,the term â€œdirectory informationâ€ at north idaho college is defined as including:   studentâ€™s name  studentâ€™s address  studentâ€™s phone number  email address  dates of attendance  freshman/sophomore classification  ,1
Mobile Number,"you also provide us with your phone number, usdot number, name, phone contacts, passwords, photos taken by camera for the purposes of super dispatch inspections.",1
Mobile Number,you can opt-out of receiving text messages to your phone number at any time by texting â€œstopâ€ in response to any text message you receive from us or contacting us as set forth in the section entitled â€œthis is how you can ask questions or raise concernsâ€ below and specifying you want to opt-out of text messages.,1
Mobile Number,"we collect your first and last name, e-mail address, postal address, phone number, and other similar contact data.",1
Mobile Number,"the information we collect includes information that identifies you personally (whether alone or in combination), such as a name, phone number, home address or email address.",1
Mobile Number,"during registration or when you initiate a transaction, if applicable, we may ask for your name, email address, mailing and billing addresses, phone number, bank account information and credit card information.",1
Mobile Number,", you will provide information that could be personal information, such as your username, password, mobile phone number, email address, facebook account, foursquare account, and/or twitter account, and locational data.",1
Mobile Number,"windows advertising id), mobile carrier, device type, model and manufacturer, mobile device operating system brand and model, phone number, and, depending on your mobile device settings, your geographical location data, including gps coordinates (e.g.",1
Mobile Number,"you can also access and edit your account information under my account page, including your name, email address,      postal address, and phone number.",1
Mobile Number,"this includes information      like your name, email address, mailing address, phone number, full date of birth, credit card number, geographic      location, etc.",1
Mobile Number,"we may collect the following information:   full name and address  contact information including email address and mobile phone number  contact information of others you add to your account with required opt-in  other information relevant to customer surveys, our products",1
Mobile Number,"to respond to your request, we may ask you for your full name, email address and phone number.",1
Mobile Number,"you may also be asked to provide us with access to your deviceâ€™s contact book and phone number in order to use some of the features of the mojio solution, e.g.",1
Mobile Number,"residential addresses, business names, business addresses, sales leads, contact information for third parties that may include individualsâ€™ names, phone numbers, addresses, email addresses, which some of this information may contain personal information.",1
Mobile Number,"through our app registration process, we collect a variety of information about the user, which may include, among other things, name of the person registering, location, gender, phone number, email address, user name and password.",1
Mobile Number,"we may also ask or allow you to submit other optional information, including your gender, phone number, uk post code.",1
Mobile Number,"examples of that information:   name, address, phone number, email address  giving information  information on events attended, publications received, and special requests for program information  information provided by the donor in the form of comments",1
Mobile Number,"customer data that includes data relating to any purchases of goods and/or services such as your name, title, billing address, delivery address email address, phone number, contact details, purchase details and your card details.",1
Mobile Number,"you can read the full details of our privacy policy below but the following is a quick summary: we only collect personal information that we require for the business purposes of commercial radio australia, such as events, research, marketing, products (including product development) and services (both our own and those of other companies that may be of interest to you); we may collect your name, address, email, phone number, location, other contact details, age, date of birth, gender, photographs/film/audio of you (where you attend a cra affiliated event), your interests and opinions about our brands and services, information related to promotions and activities that cra runs, such as competition entries, job applications, complaints and enquiries.",1
Mobile Number,"when you open the alexa app, your contacts are auto-updated from your tablet or mobile phone.",1
Mobile Number,"none of the oba techniques used will collect personal information such as your name, email address, postal address or phone number.",1
Mobile Number,email  phone number  age  ,1
Mobile Number,"when you make a donation, amazon pay will process the donation using your default amazon payment settings and will share your name, address, and email with the charity.",1
Mobile Number,"voice apps may collect geo-location, zip code, and mobile phone number",
Mobile Number,we require your telephone,
Mobile Number,we require your mobile telephone,
Name,"personal information collect, use, disclosure and consent  personal information may include your name, age, home address, phone number, marital status, income, credit history, medical information, education, employment information and social registration numbers.",0.82566748
Name,", we ask for contact information such as name and e-mail address.",0.82566748
Name,"further, by entering a promotion, you are agreeing to the official rules that govern that promotion, including allowing our sponsors to use your name, voice, and likeness in advertising and marketing associated with the promotion in accordance with applicable law.",0.82566748
Name,if you specify the name of the person and their phone type (e.g.,0.82566748
Name,"when you make a donation, amazon pay will process the donation using your default amazon payment settings and will share your name, address, and email with the charity.",0.82566748
Name,"like other businesses, we share contact information (such as name and email address) with vendors who process credit card transactions, with business partners who co-sponsor cbs local services, and when we have consent from our users.",0.82566748
Name,"we want you to recognize and understand that there is no obligation on you to provide us with your name, email address or any of your personal information; and that you share your personal information with us solely by your own choice.",0.82566748
Name,"for instance, we collect your name and contact information, details about your request and your agreement with us and the fulfillment, delivery and invoicing of your order",0.82566748
Name,"when you contract with us for a particular service, we will ask you to provide us with your name, email address, and a contact phone number.",0.82566748
Name,"upon your direct, personalÂ request, we will provide you with the current information (e.g., emailÂ address, name, etc.)",0.82566748
Name,,1
Name,"for example, they might remember your name and e-mail in comment forms",0.82566748
Name,"this information includes, for example, your name and e-mail address.",0.82566748
Name,"data we gather information you have provided us with this might be your e-mail address, name, billing address, home address etc â€“ mainly information that is necessary for delivering you a product/service or to enhance your customer experience with us.",0.82566748
Name,"other users and search engines: depending on the nbcuniversal service, you may provide certain information including your name, photo, and other information to create an account (â€œaccount profileâ€).",0.82566748
Name,"we may, from time to time, share your name, your postal mailing address and your email address with a few carefully selected third-party marketing partners that we believe offer products or services that may be of interest to you.",0.82566748
Name,"in these cases, we may share your name, contact information and other details you provided when making an account with our partners.",0.82566748
Name,"this enables us to personalize our content for you, greet you by name and remember your preferences.",0.82566748
Name,"2.1.1 this includes information you may give us so we can provide you with access to the platform or services and may include your name, address, email address, phone number and other information necessary to use the platform or services.",0.82566748
Name,"if you choose to connect to one of our products and services through a third-party social network such as facebook, we may collect information from your profile on such third-party social networks, such as your name, username, photograph, gender and date of birth.",0.82566748
Name,"if you choose to open an account with us, register for our products and services, sign up for our newsletter, request support, or in any other way take steps that require the submission of information; we may collect information such as your name, email address, physical address, date of birth, location, gender and/or phone number.",0.82566748
Name,types of personal information includes:  your name  your postal address  your e-mail address  your phone (or mobile),0.82566748
Name,"when you request modification to your data, you must provide us with all relevant existing data (name, address, email address, etc), along with the specific modifications, necessary to identify you and make the changes you request.",0.82566748
Name,the skill uses your first name to greet you.,0.82566748
Name,"this information, which may include your name and contact information, prior education and experience, and other information you provide to us, may be shared with third-party service providers retained by us to collect, maintain and analyze candidate submissions for job postings.",0.82566748
Name,"for example, if your facebook privacy settings are set to allow it, they will provide us with your public profile which includes your name, profile picture, emails address, age range, gender, language spoken and gender.",0.82566748
Name,"but it is likely to include your name, address, phone number, email address, user name, password, age, gender, date of birth (if appropriate), competition and survey answers and any comments you have chosen to provide.",0.82566748
Name,"if you wish to register on any of our digital services you agree to provide accurate, current and complete personal data and information about yourself (such as name, age, e-mail address, etc.)",0.82566748
Name,"certain features of our digital services will require you to register by providing your personal information, such as your name, e-mail address, mailing address, or other information.",0.82566748
Name,"interests, marital status, gender, user name, photo, comments and content you have posted/shared etc.).",0.82566748
Name,"and may include, first and last name, billing information, a password and a valid email address.",0.82566748
Name,"your name and/or personal information will never be traded, sold, or rented to other organizations.",0.82566748
Name,"when you sign up, youâ€™ll be asked to supply:   your name and contact information.",0.82566748
Name,"if you use one of apmâ€™s secure online forms to make a contribution to apm or an apm program, your name, complete contact information, and all contributions will go directly to the apm development department.",0.82566748
Name,"some of the information you manually provide may be personal information, such as your name and contact information.",0.82566748
Name,"personal information may include, without limitation, your first and last name, email address, age, date of birth, gender, phone number, time zone and location data, and usernames for third party social networking and other services where you have contributed content to which you grant timehop access.",0.82566748
Name,"you grant amazon and sublicensees the right to use the name that you submit in connection with such content, if they choose.",0.82566748
Name,"however, your name, email address and profile picture(s) will remain in our database.",0.82566748
Name,"also, if someone uses your promotion code, we may associate your name with that person.",0.82566748
Name,"your name and contact details may have been passed to us by someone you know, who indicated that you might be interested in hearing about our ministry, according to the chart in section 2.",0.82566748
Name,"when you purchase something from our store, as part of the buying and selling process, we collect the personal information you give us such as your name, address and email address.",0.82566748
Name,"tuition insurance quoting application â€“ studentâ€™s information (name, email address, address, college / university, on/off campus housing, class standing), parent / guardian / tuition payer (name, email address, mailing address, phone number, payment information), coverage information, discount eligibility information, and consumer reporting information.",0.82566748
Name,"ebilling - name, address, phone number, email address, banking information, credit card number if provided.",0.82566748
Name,"liberty mutual rewards - name, mailing address, email address, gender, customer status.",0.82566748
Name,"downloading our software products requires you to register and provide your name, contact information, and intended use case.",0.82566748
Name,"provider may collect a user's name, email address, and usage statistics for the benefit of conducting business and/or improving the user's experience.",0.82566748
Name,"id, a unique user id, name, e-mail id, postal code your prior usage of the skills, and information about the way you use the skills.",0.82566748
Name,"this information may include their photo, name, email address, birthday, interests or other content you can see when you access such profiles on those third party services.",0.82566748
